":@computed_region_43an_4dx5",":@computed_region_9yqb_tdyd","area_name","area_type","city","county","grade_category","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","location_code","obese_1","obese_2","overweight_1","overweight_2","overweight_or_obese_1","overweight_or_obese_2","region","school_years","state","street_address","zip_code"
"1753","2031","ANDOVER CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ANDOVER","ALLEGANY","ELEMENTARY","POINT (-77.792 42.1586)",,,,,"020601","13","0.143","6","0.066","19","0.209","WESTERN NEW YORK","2010-2012","NY","31-35 ELM ST","14806"
"1753","2031","ANDOVER CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ANDOVER","ALLEGANY","MIDDLE/HIGH","POINT (-77.792 42.1586)",,,,,"020601","6","0.133","17","0.378","23","0.511","WESTERN NEW YORK","2010-2012","NY","31-35 ELM ST","14806"
"1759","2031","GENESEE VALLEY CENTRAL SCHOOL","SCHOOL DISTRICT","BELMONT","ALLEGANY","DISTRICT TOTAL","POINT (-77.986 42.2319)",,,,,"020702","34","0.147","40","0.173","74","0.32","WESTERN NEW YORK","2010-2012","NY","1 JAGUAR DR","14813"
"1759","2031","GENESEE VALLEY CENTRAL SCHOOL","SCHOOL DISTRICT","BELMONT","ALLEGANY","ELEMENTARY","POINT (-77.986 42.2319)",,,,,"020702","32","0.204","20","0.127","52","0.331","WESTERN NEW YORK","2010-2012","NY","1 JAGUAR DR","14813"
"1759","2031","GENESEE VALLEY CENTRAL SCHOOL","SCHOOL DISTRICT","BELMONT","ALLEGANY","MIDDLE/HIGH","POINT (-77.986 42.2319)",,,,,"020702","13","0.176","20","0.27","33","0.446","WESTERN NEW YORK","2010-2012","NY","1 JAGUAR DR","14813"
"1693","2031","BELFAST CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BELFAST","ALLEGANY","DISTRICT TOTAL","POINT (-78.1168 42.3405)",,,,,"020801","26","0.205","26","0.205","52","0.409","WESTERN NEW YORK","2010-2012","NY","1 KING ST","14711"
"1693","2031","BELFAST CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BELFAST","ALLEGANY","ELEMENTARY","POINT (-78.1168 42.3405)",,,,,"020801","16","0.2","17","0.213","33","0.413","WESTERN NEW YORK","2010-2012","NY","1 KING ST","14711"
"1693","2031","BELFAST CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BELFAST","ALLEGANY","MIDDLE/HIGH","POINT (-78.1168 42.3405)",,,,,"020801","6","0.154","5","0.128","11","0.282","WESTERN NEW YORK","2010-2012","NY","1 KING ST","14711"
"1768","2031","CANASERAGA CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CANASERAGA","ALLEGANY","DISTRICT TOTAL","POINT (-77.773 42.4615)",,,,,"021102","21","0.204","14","0.136","35","0.34","WESTERN NEW YORK","2010-2012","NY","4-8 MAIN ST","14822"
"1768","2031","CANASERAGA CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CANASERAGA","ALLEGANY","ELEMENTARY","POINT (-77.773 42.4615)",,,,,"021102","5","0.086","6","0.103","11","0.19","WESTERN NEW YORK","2010-2012","NY","4-8 MAIN ST","14822"
"1768","2031","CANASERAGA CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","CANASERAGA","ALLEGANY","MIDDLE/HIGH","POINT (-77.773 42.4615)",,,,,"021102","16","0.615",,,"16","0.615","WESTERN NEW YORK","2010-2012","NY","4-8 MAIN ST","14822"
"1717","2031","FRIENDSHIP CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","FRIENDSHIP","ALLEGANY","DISTRICT TOTAL","POINT (-78.137 42.2066)",,,,,"021601","32","0.192","36","0.216","68","0.407","WESTERN NEW YORK","2010-2012","NY","46 W MAIN ST","14739"
